"index","importance","stddev","p_value","n","p99_high","p99_low"
"temp_dewpoint_spread","-0.18870889862500917","0","0","1","0","0"
"ades_dwpf","-0.19148015395012408","0","0","1","0","0"
"ades_skyl1","-0.25096674073711256","0","0","1","0","0"
"ades_relh","-0.2640687291764152","0","0","1","0","0"
"adep_continent","-0.303253097695233","0","0","1","0","0"
"ades_skyl2","-0.34105409329504255","0","0","1","0","0"
"ades_lon_y","-0.39776463116731975","0","0","1","0","0"
"empty_to_mtow_ratio","-0.4051992157001223","0","0","1","0","0"
"wing_aspect_ratio","-0.4126615496211343","0","0","1","0","0"
"stats_MOVE_CACM_TOTAL_y","-0.4473741231263375","0","0","1","0","0"
"ades_elevation_y","-0.4647947095440941","0","0","1","0","0"
"ades_gust","-0.4757537007267274","0","0","1","0","0"
"runway_ades_he_elevation_ft","-0.48175123184728363","0","0","1","0","0"
"Quantity_Kerosene-type Jet Fuel - Imports_x","-0.5063485362747997","0","0","1","0","0"
"airport_pair_category","-0.5278988942891374","0","0","1","0","0"
"Quantity_Kerosene-type Jet Fuel - Stock changes_y","-0.5869700788084629","0","0","1","0","0"
"stats_MOVE_ACM_TOTAL_y","-0.6227851741159611","0","0","1","0","0"
"Quantity_Kerosene-type Jet Fuel - Final energy consumption_y","-0.7727821796615899","0","0","1","0","0"
"Quantity_Kerosene-type Jet Fuel - Transfers and recycled products_y","-0.9674418951867665","0","0","1","0","0"
"runway_ades_le_elevation_ft","-0.9831200767644077","0","0","1","0","0"
"openap_pr","-1.0400428171451495","0","0","1","0","0"
"useful_load_ratio","-2.356014570003481","0","0","1","0","0"
"fuel_price_adep","-2.4433025576754517","0","0","1","0","0"
"Quantity_Kerosene-type Jet Fuel - Exports_x","-2.8224553440027194","0","0","1","0","0"
"wtc","28356.47271407218","0","0","1","0","0"
"airline_aircraft","5405.463266245712","0","0","1","0","0"
"zfw_to_mtow_ratio","1827.9607734276688","0","0","1","0","0"
"max_fuel_structural","1733.2846383363612","0","0","1","0","0"
"route","1672.741879473866","0","0","1","0","0"
"MTOW","912.9918231230586","0","0","1","0","0"
"MLW","896.22280637328","0","0","1","0","0"
"aircraft_type","610.2567737895188","0","0","1","0","0"
"distance_to_range_ratio","498.14896070539544","0","0","1","0","0"
"openap_wing.mac","466.52585531985096","0","0","1","0","0"
"openap_engine.default","441.04252473251836","0","0","1","0","0"
"callsign","394.50859137932275","0","0","1","0","0"
"flight_duration","383.03391467473193","0","0","1","0","0"
"route_distance_mi","330.2589444129808","0","0","1","0","0"
"openap_mtow","306.1440136975434","0","0","1","0","0"
"openap_mfc","304.49989222152726","0","0","1","0","0"
"route_distance_km","267.36482622102994","0","0","1","0","0"
"openap_flaps.area","260.47360146542997","0","0","1","0","0"
"openap_wing.t/c","256.06645406292955","0","0","1","0","0"
"tight_turnaround","244.41045529862822","0","0","1","0","0"
"openap_mlw","243.91239750177556","0","0","1","0","0"
"distance_vs_ceiling","230.20275387236688","0","0","1","0","0"
"openap_fuselage.length","216.41181291879184","0","0","1","0","0"
"air_time_hours","214.20225219609347","0","0","1","0","0"
"ramp_to_ramp_hours","191.35807873250087","0","0","1","0","0"
"mlw_to_mtow_ratio","173.93174748284582","0","0","1","0","0"
"route_complexity","172.5816560039675","0","0","1","0","0"
"openap_pax.low","166.32176254594015","0","0","1","0","0"
"Cargo Capacity","164.5254909879477","0","0","1","0","0"
"openap_drag.e","162.20903740528956","0","0","1","0","0"
"openap_mmo","161.1595361642576","0","0","1","0","0"
"openap_pax.high","152.37514168842608","0","0","1","0","0"
"is_long_distance_flight","142.10895592094312","0","0","1","0","0"
"flown_distance","140.22610181003256","0","0","1","0","0"
"openap_pax.max","135.94311144206222","0","0","1","0","0"
"openap_fuel_c3","110.08204504840978","0","0","1","0","0"
"wing_loading_capacity","97.81302930508173","0","0","1","0","0"
"Seats Total","94.96727210754398","0","0","1","0","0"
"ZFW","91.41732765156485","0","0","1","0","0"
"comfort_index","88.83453037895742","0","0","1","0","0"
"track_distance_m","88.33941731198502","0","0","1","0","0"
"is_EU_internal","69.79812383031094","0","0","1","0","0"
"openap_ff_to","69.06432042254164","0","0","1","0","0"
"openap_ei_co_to","66.97367125224991","0","0","1","0","0"
"openap_flaps.lambda_f","66.60588420413842","0","0","1","0","0"
"openap_wing.area","62.2339028703027","0","0","1","0","0"
"openap_wing.sweep","60.539727992272674","0","0","1","0","0"
"openap_ei_co_idl","59.23080624096474","0","0","1","0","0"
"openap_ff_app","59.01129008955104","0","0","1","0","0"
"estimated_pax_weight","53.37983496913512","0","0","1","0","0"
"openap_oew","51.62782834927202","0","0","1","0","0"
"openap_fuselage.width","51.10115687445432","0","0","1","0","0"
"openap_ei_hc_to","49.63555570192693","0","0","1","0","0"
"openap_wing.span","49.57736093539279","0","0","1","0","0"
"openap_fuel_c2","39.652747733664","0","0","1","0","0"
"openap_ei_hc_idl","37.258845256303175","0","0","1","0","0"
"openap_cruise.height","36.452168924377474","0","0","1","0","0"
"Fuel Capacity","33.09606020487627","0","0","1","0","0"
"openap_ei_co_co","32.865074465695216","0","0","1","0","0"
"openap_fuel_c1","32.800594706070115","0","0","1","0","0"
"runway_adep_le_displaced_threshold_ft","31.39715471643285","0","0","1","0","0"
"openap_ff_co","30.426183093826694","0","0","1","0","0"
"Seats Economy_Class","30.414230586018675","0","0","1","0","0"
"ades_city","27.129138210402743","0","0","1","0","0"
"openap_fuel_b","26.702342558572127","0","0","1","0","0"
"total_thrust_capacity","26.11696384813331","0","0","1","0","0"
"available_cargo_weight","24.578803196280205","0","0","1","0","0"
"openap_max_thrust","21.56108066003435","0","0","1","0","0"
"openap_ei_nox_idl","20.900536647066474","0","0","1","0","0"
"fuselage_volume","19.292042490593303","0","0","1","0","0"
"openap_flaps.type","17.926384695365414","0","0","1","0","0"
"Quantity_Kerosene-type Jet Fuel - Production_y","17.245255106972763","0","0","1","0","0"
"ades","16.224275686094188","0","0","1","0","0"
"adep","16.104242351368157","0","0","1","0","0"
"altitude_ratio","15.570927370579739","0","0","1","0","0"
"adep_city","15.21009412145213","0","0","1","0","0"
"useful_load_ratio","14.867959893323132","0","0","1","0","0"
"fuel_price_ades","13.80391349240017","0","0","1","0","0"
"openap_drag.cd0","13.240408091412974","0","0","1","0","0"
"Range(nm)","12.865273708932364","0","0","1","0","0"
"max_payload_structural","12.718985068862821","0","0","1","0","0"
"openap_flaps.Sf/S","11.535203177259973","0","0","1","0","0"
"openap_fuel_lto","10.60100878436424","0","0","1","0","0"
"openap_fuselage.height","10.234954245810513","0","0","1","0","0"
"ades_lon_y","9.080425388438016","0","0","1","0","0"
"Quantity_Kerosene-type Jet Fuel - Stock changes_y","9.048630596680596","0","0","1","0","0"
"openap_pr","9.001603591463208","0","0","1","0","0"
"adep_region","8.917887479132332","0","0","1","0","0"
"ades_region","8.142799189179641","0","0","1","0","0"
"is_international","8.109792565814132","0","0","1","0","0"
"empty_to_mtow_ratio","7.560498589886265","0","0","1","0","0"
"openap_flaps.cf/c","7.389055296069273","0","0","1","0","0"
"openap_drag.k","5.239576246069191","0","0","1","0","0"
"avg_speed","5.238838017641683","0","0","1","0","0"
"stats_MOVE_CACM_TOTAL_y","5.127189426588302","0","0","1","0","0"
"route_type","4.979685279795376","0","0","1","0","0"
"ades_elevation_y","4.72518210110502","0","0","1","0","0"
"Fuel Flow","4.540420542973152","0","0","1","0","0"
"stats_MOVE_ACM_TOTAL_y","3.815099355233542","0","0","1","0","0"
"stats_PAS_PAS_CRD_TOTAL_y","3.2460222917688952","0","0","1","0","0"
"speed_efficiency","3.173838280934433","0","0","1","0","0"
"Quantity_Kerosene-type Jet Fuel - Consumption by transport_y","3.1678568382885715","0","0","1","0","0"
"ades_lon_x","3.1273553638748126","0","0","1","0","0"
"openap_cruise_mach","2.988025915612525","0","0","1","0","0"
"fuel_capacity_ratio","2.917531945007795","0","0","1","0","0"
"openap_ei_co_app","2.6572965746745467","0","0","1","0","0"
"openap_cruise_sfc","2.6026457754996954","0","0","1","0","0"
"stats_PAS_PAS_TRF_TOTAL_y","2.4705691970229964","0","0","1","0","0"
"is_premium_hour","2.382464559865184","0","0","1","0","0"
"initclimb_max_climb","2.303955563213094","0","0","1","0","0"
"Quantity_Kerosene-type Jet Fuel - Total energy supply_y","2.072236459764099","0","0","1","0","0"
"ades_lat_x","1.968070713137422","0","0","1","0","0"
"openap_flaps.bf/b","1.9643789129549987","0","0","1","0","0"
"airline","1.8046291278806166","0","0","1","0","0"
"ades_sknt","1.5804462684318423","0","0","1","0","0"
"cargo_capacity_ratio","1.4816365805272653","0","0","1","0","0"
"stats_PAS_PAS_TRF_TOTAL_x","1.4314249213384755","0","0","1","0","0"
"ades_lat_y","1.3439629330896423","0","0","1","0","0"
"runway_ades_he_displaced_threshold_ft","1.286368775250594","0","0","1","0","0"
"cruise_altitude","1.09964423506608","0","0","1","0","0"
"Quantity_Kerosene-type Jet Fuel - Final energy consumption_y","1.0743312023914768","0","0","1","0","0"
"openap_ei_hc_co","0.9561558022323879","0","0","1","0","0"
"airport_pair_category","0.9551825588096108","0","0","1","0","0"
"flight_time_vs_optimal","0.8626173887751065","0","0","1","0","0"
"potential_energy_factor","0.839307384158019","0","0","1","0","0"
"openap_ei_nox_app","0.8175951964694832","0","0","1","0","0"
"adep_lat","0.7434663983149221","0","0","1","0","0"
"ades_elevation_x","0.6542731258232379","0","0","1","0","0"
"kinetic_energy_factor","0.5963729642971884","0","0","1","0","0"
"is_business_route","0.5789744292669639","0","0","1","0","0"
"is_financial_route","0.5435203776723938","0","0","1","0","0"
"runway_ades_le_displaced_threshold_ft","0.5395806335982343","0","0","1","0","0"
"stats_T_FRM_LD_NLD_TOTAL_x","0.5384459613233048","0","0","1","0","0"
"noise_sensitive_departure","0.5368572696534102","0","0","1","0","0"
"Quantity_Kerosene-type Jet Fuel - International aviation bunkers_x","0.5209423674386926","0","0","1","0","0"
"stats_T_FRM_LD_NLD_TOTAL_y","0.46970461158343824","0","0","1","0","0"
"fuel_per_seat_km","0.43323761533247307","0","0","1","0","0"
"stats_PAS_PAS_CRD_TOTAL_x","0.3804673648883181","0","0","1","0","0"
"wing_aspect_ratio","0.35938216626891517","0","0","1","0","0"
"ades_tmpf","0.35274229571587057","0","0","1","0","0"
"reynolds_factor","0.31122395992133534","0","0","1","0","0"
"origin_destination_size","0.2890955831608153","0","0","1","0","0"
"country_code_adep","0.25699849848024314","0","0","1","0","0"
"route_efficiency","0.24329548282184987","0","0","1","0","0"
"estimated_load_factor","0.21453664309956366","0","0","1","0","0"
"v2_ratio","0.18831492045501363","0","0","1","0","0"
"runway_adep_length_ft","0.1701402259786846","0","0","1","0","0"
"openap_engine.number","0.14911841541470494","0","0","1","0","0"
"valid","0.14465526787171257","0","0","1","0","0"
"onblock_time","0.13832727818589774","0","0","1","0","0"
"ades_tz","0.07872693880926818","0","0","1","0","0"
"actual_offblock_time","0.07015989885985618","0","0","1","0","0"
"Quantity_Kerosene-type Jet Fuel - Production_x","0.05489269328973023","0","0","1","0","0"
"Quantity_Kerosene-type Jet Fuel - Exports_x","0.03684072833493701","0","0","1","0","0"
"week","0.03379223553929478","0","0","1","0","0"
